Date and Time:                Mon May 26 12:31:36.898 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200


685.98926	163
686.02612	189
686.06299	171
686.09985	182
686.13666	178
686.17352	169
686.21039	182
686.24725	204
686.28412	163
686.32092	154
686.35779	171
686.39465	171
686.43146	177
686.46832	174
686.50519	172
686.54199	183
686.57886	166
686.61572	171
686.65253	179
686.68939	167
686.7262	168
686.76306	167
686.79987	160
686.83673	178
686.87354	198
686.9104	153
686.9472	165
686.98407	170
687.02087	163
687.05768	160
687.09454	163
687.13135	184
687.16815	175
687.20502	159
687.24182	158
687.27863	171
687.31543	163
687.35223	162
687.3891	164
687.4259	182
687.46271	163
687.49951	165
687.53632	167
687.57312	170
687.60992	149
687.64673	179
687.68359	169
687.7204	186
687.7572	178
687.79401	162
687.83075	159
687.86755	165
687.90436	168
687.94116	160
687.97797	162
688.01477	169
688.05157	163
688.08838	136
688.12512	146
688.16193	166
688.19873	171
688.23553	162
688.27234	163
688.30908	168
688.34589	162
688.38269	170
688.41943	155
688.45624	168
688.49298	171
688.52979	172
688.56659	163
688.60333	161
688.64014	176
688.67688	165
688.71368	156
688.75043	163
688.78723	152
688.82397	150
688.86078	154
688.89752	162
688.93427	159
688.97107	143
689.00781	154
689.04456	157
689.08136	151
689.1181	161
689.15485	162
689.19159	156
689.22839	173
689.26514	148
689.30188	140
689.33862	149
689.37537	144
689.41217	141
689.44891	156
689.48566	159
689.5224	157
689.55914	138
689.59589	149
689.63263	159
689.66937	145
689.70612	143
689.74286	162
689.7796	152
689.81635	148
689.85309	157
689.88977	156
689.92651	162
689.96326	165
690	150
690.03674	156
690.07343	181
690.11017	167
690.14691	131
690.18365	173
690.22034	174
690.25708	168
690.29382	141
690.33051	160
690.36725	162
690.40399	167
690.44067	147
690.47742	158
690.5141	154
690.55084	149
690.58752	136
690.62427	158
690.66095	167
690.69769	169
690.73438	170
690.77106	162
690.8078	173
690.84448	172
690.88123	160
690.91791	162
690.95459	180
690.99127	171
691.02802	169
691.0647	173
691.10138	200
691.13806	196
691.1748	197
691.21149	202
691.24817	212
