Date and Time:                Mon May 26 12:10:29.875 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200



671.08093	330
671.11823	341
671.15552	368
671.19281	343
671.2301	332
671.26746	367
671.30475	351
671.34204	351
671.37933	336
671.41663	356
671.45392	353
671.49121	338
671.5285	314
671.5658	345
671.60309	352
671.64038	336
671.67761	343
671.7149	351
671.7522	353
671.78949	347
671.82678	369
671.86407	337
671.90137	361
671.9386	347
671.97589	331
672.01318	343
672.05048	349
672.08771	328
672.125	329
672.16229	333
672.19952	343
672.23682	348
672.27411	324
672.31134	340
672.34863	339
672.38586	337
672.42316	319
672.46045	350
672.49768	342
672.53497	328
672.5722	335
672.6095	337
672.64673	310
672.68396	339
672.72125	329
672.75848	343
672.79578	358
672.83301	314
672.87024	334
672.90753	332
672.94476	335
672.98199	313
673.01929	326
673.05652	339
673.09375	343
673.13098	319
673.16827	331
673.20551	336
673.24274	347
673.27997	330
673.3172	316
673.35443	343
673.39172	351
673.42896	328
673.46619	310
673.50342	341
673.54065	345
673.57788	351
673.61511	318
673.65234	313
673.68958	328
673.72681	331
673.76404	329
673.80127	319
673.8385	341
673.87567	319
673.9129	290
673.95013	344
673.98737	329
674.0246	306
674.06183	317
674.099	341
674.13623	326
674.17346	317
674.21069	319
674.24786	342
674.2851	329
674.32233	301
674.3595	303
674.39673	320
674.43396	322
674.47113	302
674.50836	310
674.54553	301
674.58276	321
674.61993	314
674.65717	292
674.6944	325
674.73157	300
674.76874	324
674.80597	304
674.84314	316
674.88037	321
674.91754	322
674.95477	310
674.99194	305
675.02911	335
675.06635	324
675.10352	301
675.14069	321
675.17786	315
675.21509	308
675.25226	295
675.28943	333
675.3266	321
675.36383	285
675.401	292
675.43817	317
675.47534	300
675.51251	287
675.54968	279
675.58685	295
675.62402	296
675.66119	304
675.69836	288
675.73553	311
675.77271	320
675.80988	309
675.84705	305
675.88422	324
675.92139	310
675.95856	288
675.99573	282
676.0329	324
676.07007	301
676.10718	295
676.14435	298
676.18152	299
676.21869	310
676.25586	290
676.29297	297
676.33014	305
676.36731	312
676.40442	299
676.44159	276
676.47876	300
676.51587	317
676.55304	296
676.59021	304
676.62732	296
676.66449	327
676.7016	308
676.73877	272
676.77588	280
676.81305	303
676.85016	292
676.88733	298
676.92444	305
676.96161	309
676.99872	303
677.03583	298
677.073	303
677.11011	309
677.14728	307
677.18439	280
677.2215	300
677.25861	304
677.29578	306
677.33289	284
677.37	294
677.4071	286
677.44427	297
677.48138	266
677.51849	304
677.5556	312
677.59271	295
677.62982	287
677.66693	291
677.70404	306
677.74115	314
677.77826	274
677.81537	303
677.85248	308
677.88959	288
677.9267	267
677.96381	308
678.00092	298
678.03802	296
678.07513	275
678.11224	311
678.14935	303
678.18646	290
678.22351	289
678.26062	313
678.29773	312
678.33484	284
678.37189	293
678.409	304
678.44611	293
678.48322	308
678.52026	286
678.55737	297
678.59442	303
678.63153	287
678.66864	293
678.70569	299
678.7428	296
678.77985	283
678.81696	304
678.854	288
678.89111	305
678.92816	299
678.96527	266
679.00232	293
679.03943	308
679.07648	281
679.11353	261
679.15063	279
679.18768	282
679.22473	297
679.26184	259
679.29889	289
679.33594	305
679.37305	270
679.4101	294
679.44714	315
679.48419	291
679.52124	287
679.55835	288
679.5954	286
679.63245	306
679.66949	275
679.70654	271
679.74359	301
679.78064	306
679.81769	274
679.85474	276
679.89178	293
679.92883	279
679.96588	290
680.00293	274
680.03998	300
680.07703	285
680.11407	289
680.15112	281
680.18811	285
680.22516	280
680.26221	285
680.29926	270
680.3363	289
680.37329	289
680.41034	273
680.44739	282
680.48444	296
680.52142	297
680.55847	287
680.59552	277
680.63251	285
680.66956	293
680.70654	278
680.74359	256
680.78064	285
680.81763	312
680.85468	281
680.89166	270
680.92871	291
680.9657	295
681.00269	266
681.03973	268
681.07672	280
681.11377	285
