Date and Time:                Mon May 26 12:23:19.246 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200



671.08093	364
671.11823	361
671.15552	366
671.19281	349
671.2301	336
671.26746	362
671.30475	350
671.34204	360
671.37933	368
671.41663	351
671.45392	356
671.49121	360
671.5285	357
671.5658	354
671.60309	360
671.64038	359
671.67761	358
671.7149	373
671.7522	347
671.78949	352
671.82678	360
671.86407	356
671.90137	356
671.9386	351
671.97589	353
672.01318	348
672.05048	356
672.08771	348
672.125	362
672.16229	348
672.19952	344
672.23682	337
672.27411	351
672.31134	335
672.34863	337
672.38586	354
672.42316	334
672.46045	354
672.49768	356
672.53497	331
672.5722	344
672.6095	332
672.64673	328
672.68396	334
672.72125	341
672.75848	340
672.79578	349
672.83301	329
672.87024	334
672.90753	352
672.94476	343
672.98199	345
673.01929	352
673.05652	335
673.09375	349
673.13098	329
673.16827	340
673.20551	340
673.24274	348
673.27997	330
673.3172	334
673.35443	340
673.39172	329
673.42896	332
673.46619	342
673.50342	349
673.54065	347
673.57788	339
673.61511	326
673.65234	318
673.68958	317
673.72681	341
673.76404	335
673.80127	322
673.8385	342
673.87567	329
673.9129	314
673.95013	332
673.98737	336
674.0246	328
674.06183	331
674.099	324
674.13623	317
674.17346	322
674.21069	332
674.24786	332
674.2851	330
674.32233	317
674.3595	329
674.39673	314
674.43396	332
674.47113	296
674.50836	313
674.54553	319
674.58276	343
674.61993	317
674.65717	334
674.6944	329
674.73157	315
674.76874	322
674.80597	310
674.84314	299
674.88037	335
674.91754	338
674.95477	328
674.99194	314
675.02911	322
675.06635	303
675.10352	321
675.14069	306
675.17786	316
675.21509	312
675.25226	302
675.28943	325
675.3266	313
675.36383	306
675.401	304
675.43817	326
675.47534	289
675.51251	316
675.54968	302
675.58685	309
675.62402	307
675.66119	322
675.69836	307
675.73553	305
675.77271	314
675.80988	314
675.84705	323
675.88422	322
675.92139	326
675.95856	319
675.99573	315
676.0329	320
676.07007	291
676.10718	327
676.14435	300
676.18152	302
676.21869	322
676.25586	305
676.29297	309
676.33014	310
676.36731	297
676.40442	302
676.44159	302
676.47876	309
676.51587	299
676.55304	321
676.59021	311
676.62732	304
676.66449	305
676.7016	311
676.73877	292
676.77588	294
676.81305	291
676.85016	313
676.88733	313
676.92444	313
676.96161	291
676.99872	300
677.03583	289
677.073	310
677.11011	311
677.14728	310
677.18439	294
677.2215	311
677.25861	300
677.29578	294
677.33289	296
677.37	306
677.4071	294
677.44427	302
677.48138	301
677.51849	314
677.5556	298
677.59271	302
677.62982	307
677.66693	296
677.70404	302
677.74115	323
677.77826	298
677.81537	310
677.85248	296
677.88959	301
677.9267	287
677.96381	294
678.00092	288
678.03802	298
678.07513	284
678.11224	310
678.14935	296
678.18646	301
678.22351	312
678.26062	298
678.29773	297
678.33484	306
678.37189	306
678.409	306
678.44611	294
678.48322	287
678.52026	303
678.55737	296
678.59442	314
678.63153	295
678.66864	308
678.70569	291
678.7428	278
678.77985	290
678.81696	294
678.854	310
678.89111	311
678.92816	295
678.96527	280
679.00232	288
679.03943	286
679.07648	296
679.11353	269
679.15063	280
679.18768	277
679.22473	302
679.26184	288
679.29889	281
679.33594	299
679.37305	304
679.4101	303
679.44714	305
679.48419	290
679.52124	302
679.55835	310
679.5954	284
679.63245	287
679.66949	294
679.70654	280
679.74359	297
679.78064	288
679.81769	285
679.85474	291
679.89178	281
679.92883	282
679.96588	283
680.00293	289
680.03998	293
680.07703	271
680.11407	285
680.15112	292
680.18811	286
680.22516	294
680.26221	294
680.29926	283
680.3363	287
680.37329	266
680.41034	298
680.44739	292
680.48444	283
680.52142	272
680.55847	294
680.59552	278
680.63251	284
680.66956	276
680.70654	274
680.74359	269
680.78064	294
680.81763	275
680.85468	279
680.89166	270
680.92871	294
680.9657	267
681.00269	276
681.03973	289
681.07672	281
681.11377	282
