Date and Time:                Mon May 26 11:46:34.149 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200



671.08093	299
671.11823	314
671.15552	348
671.19281	302
671.2301	279
671.26746	321
671.30475	322
671.34204	330
671.37933	311
671.41663	321
671.45392	326
671.49121	301
671.5285	284
671.5658	314
671.60309	305
671.64038	293
671.67761	295
671.7149	327
671.7522	309
671.78949	310
671.82678	298
671.86407	300
671.90137	322
671.9386	305
671.97589	308
672.01318	303
672.05048	331
672.08771	296
672.125	308
672.16229	303
672.19952	299
672.23682	296
672.27411	274
672.31134	299
672.34863	325
672.38586	309
672.42316	280
672.46045	297
672.49768	299
672.53497	295
672.5722	282
672.6095	299
672.64673	306
672.68396	303
672.72125	295
672.75848	311
672.79578	331
672.83301	284
672.87024	296
672.90753	311
672.94476	304
672.98199	281
673.01929	312
673.05652	300
673.09375	304
673.13098	289
673.16827	288
673.20551	304
673.24274	313
673.27997	288
673.3172	291
673.35443	294
673.39172	311
673.42896	279
673.46619	277
673.50342	297
673.54065	310
673.57788	300
673.61511	276
673.65234	290
673.68958	300
673.72681	304
673.76404	281
673.80127	275
673.8385	298
673.87567	290
673.9129	272
673.95013	281
673.98737	295
674.0246	280
674.06183	281
674.099	292
674.13623	296
674.17346	286
674.21069	278
674.24786	282
674.2851	300
674.32233	278
674.3595	283
674.39673	266
674.43396	304
674.47113	278
674.50836	273
674.54553	284
674.58276	305
674.61993	279
674.65717	269
674.6944	278
674.73157	281
674.76874	276
674.80597	265
674.84314	285
674.88037	293
674.91754	288
674.95477	273
674.99194	271
675.02911	293
675.06635	271
675.10352	257
675.14069	271
675.17786	282
675.21509	251
675.25226	262
675.28943	289
675.3266	283
675.36383	271
675.401	263
675.43817	272
675.47534	249
675.51251	265
675.54968	246
675.58685	280
675.62402	278
675.66119	271
675.69836	272
675.73553	261
675.77271	282
675.80988	268
675.84705	278
675.88422	277
675.92139	298
675.95856	255
675.99573	259
676.0329	269
676.07007	270
676.10718	272
676.14435	255
676.18152	272
676.21869	281
676.25586	272
676.29297	250
676.33014	268
676.36731	276
676.40442	258
676.44159	242
676.47876	267
676.51587	282
676.55304	269
676.59021	248
676.62732	293
676.66449	287
676.7016	267
676.73877	246
676.77588	277
676.81305	273
676.85016	265
676.88733	259
676.92444	273
676.96161	267
676.99872	248
677.03583	256
677.073	275
677.11011	266
677.14728	243
677.18439	248
677.2215	260
677.25861	260
677.29578	259
677.33289	258
677.37	270
677.4071	267
677.44427	251
677.48138	247
677.51849	253
677.5556	274
677.59271	279
677.62982	257
677.66693	256
677.70404	282
677.74115	277
677.77826	262
677.81537	276
677.85248	269
677.88959	260
677.9267	241
677.96381	277
678.00092	261
678.03802	269
678.07513	246
678.11224	275
678.14935	271
678.18646	249
678.22351	234
678.26062	259
678.29773	277
678.33484	233
678.37189	249
678.409	263
678.44611	260
678.48322	247
678.52026	253
678.55737	256
678.59442	266
678.63153	237
678.66864	250
678.70569	259
678.7428	263
678.77985	261
678.81696	250
678.854	258
678.89111	283
678.92816	246
678.96527	243
679.00232	242
679.03943	264
679.07648	253
679.11353	221
679.15063	250
679.18768	232
679.22473	251
679.26184	236
679.29889	232
679.33594	253
679.37305	254
679.4101	243
679.44714	255
679.48419	260
679.52124	258
679.55835	248
679.5954	242
679.63245	263
679.66949	234
679.70654	230
679.74359	254
679.78064	250
679.81769	246
679.85474	219
679.89178	251
679.92883	258
679.96588	252
680.00293	230
680.03998	247
680.07703	257
680.11407	243
680.15112	231
680.18811	251
680.22516	235
680.26221	235
680.29926	229
680.3363	251
680.37329	248
680.41034	239
680.44739	238
680.48444	241
680.52142	271
680.55847	225
680.59552	241
680.63251	228
680.66956	246
680.70654	239
680.74359	219
680.78064	235
680.81763	254
680.85468	241
680.89166	225
680.92871	238
680.9657	248
681.00269	224
681.03973	233
681.07672	226
681.11377	248
