Date and Time:                Mon May 26 09:39:38.863 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200


685.95239	26
685.98926	18
686.02612	3
686.06299	19
686.09985	38
686.13666	14
686.17352	11
686.21039	29
686.24725	26
686.28412	23
686.32092	1
686.35779	24
686.39465	32
686.43146	11
686.46832	-2
686.50519	27
686.54199	46
686.57886	23
686.61572	9
686.65253	17
686.68939	22
686.7262	19
686.76306	13
686.79987	19
686.83673	37
686.87354	14
686.9104	7
686.9472	35
686.98407	27
687.02087	24
687.05768	5
687.09454	30
687.13135	33
687.16815	19
687.20502	-1
687.24182	32
687.27863	35
687.31543	27
687.35223	9
687.3891	28
687.4259	42
687.46271	25
687.49951	-1
687.53632	27
687.57312	42
687.60992	21
687.64673	4
687.68359	37
687.7204	44
687.7572	12
687.79401	20
687.83075	31
687.86755	23
687.90436	19
687.94116	11
687.97797	29
688.01477	34
688.05157	17
688.08838	9
688.12512	22
688.16193	36
688.19873	33
688.23553	16
688.27234	33
688.30908	28
688.34589	26
688.38269	14
688.41943	29
688.45624	25
688.49298	17
688.52979	6
688.56659	32
688.60333	32
688.64014	21
688.67688	11
688.71368	37
688.75043	33
688.78723	20
688.82397	17
688.86078	35
688.89752	48
688.93427	25
688.97107	23
689.00781	30
689.04456	43
689.08136	29
689.1181	15
689.15485	37
689.19159	42
689.22839	20
689.26514	24
689.30188	32
689.33862	46
689.37537	19
689.41217	15
689.44891	31
689.48566	30
689.5224	35
689.55914	24
689.59589	45
689.63263	47
689.66937	34
689.70612	32
689.74286	46
689.7796	48
689.81635	34
689.85309	30
689.88977	28
689.92651	53
689.96326	29
690	38
690.03674	38
690.07343	60
690.11017	33
690.14691	15
690.18365	36
690.22034	49
690.25708	53
690.29382	36
690.33051	42
690.36725	51
690.40399	55
690.44067	44
690.47742	62
690.5141	56
690.55084	46
690.58752	42
690.62427	52
690.66095	81
690.69769	47
690.73438	52
690.77106	68
690.8078	68
690.84448	66
690.88123	50
690.91791	74
690.95459	86
690.99127	56
691.02802	73
691.0647	84
691.10138	93
691.13806	70
691.1748	71
691.21149	86
691.24817	99
691.28485	96
691.32153	91
691.35822	98
691.3949	107
691.43158	92
691.46826	106
691.50494	117
691.54163	137
691.57831	124
691.61499	130
691.65167	152
691.68835	157
691.72504	165
691.76172	167
691.7984	197
691.83508	201
691.8717	213
691.90839	213
691.94507	260
691.98175	261
692.01837	275
692.05505	290
692.09174	319
692.12836	359
692.16504	388
692.20172	423
692.23834	490
692.27502	531
692.31171	573
692.34833	635
692.38501	728
692.42163	851
692.45831	934
692.49493	1057
692.53162	1254
692.56824	1416
692.60486	1598
