Date and Time:                Mon May 26 12:26:08.897 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200



671.08093	344
671.11823	359
671.15552	373
671.19281	362
671.2301	337
671.26746	357
671.30475	371
671.34204	372
671.37933	351
671.41663	333
671.45392	364
671.49121	361
671.5285	345
671.5658	346
671.60309	352
671.64038	359
671.67761	348
671.7149	357
671.7522	364
671.78949	367
671.82678	350
671.86407	344
671.90137	350
671.9386	341
671.97589	343
672.01318	354
672.05048	345
672.08771	348
672.125	312
672.16229	329
672.19952	327
672.23682	360
672.27411	322
672.31134	348
672.34863	350
672.38586	362
672.42316	340
672.46045	363
672.49768	331
672.53497	330
672.5722	341
672.6095	338
672.64673	342
672.68396	335
672.72125	324
672.75848	330
672.79578	357
672.83301	327
672.87024	336
672.90753	340
672.94476	333
672.98199	337
673.01929	340
673.05652	347
673.09375	328
673.13098	335
673.16827	332
673.20551	347
673.24274	345
673.27997	350
673.3172	321
673.35443	334
673.39172	330
673.42896	350
673.46619	332
673.50342	335
673.54065	355
673.57788	337
673.61511	328
673.65234	312
673.68958	341
673.72681	324
673.76404	331
673.80127	323
673.8385	325
673.87567	325
673.9129	314
673.95013	334
673.98737	344
674.0246	321
674.06183	312
674.099	318
674.13623	322
674.17346	339
674.21069	321
674.24786	317
674.2851	335
674.32233	335
674.3595	329
674.39673	304
674.43396	328
674.47113	323
674.50836	311
674.54553	316
674.58276	334
674.61993	343
674.65717	324
674.6944	325
674.73157	326
674.76874	331
674.80597	309
674.84314	308
674.88037	330
674.91754	322
674.95477	310
674.99194	318
675.02911	331
675.06635	314
675.10352	310
675.14069	292
675.17786	331
675.21509	323
675.25226	320
675.28943	308
675.3266	320
675.36383	314
675.401	287
675.43817	323
675.47534	303
675.51251	297
675.54968	283
675.58685	287
675.62402	319
675.66119	318
675.69836	322
675.73553	303
675.77271	316
675.80988	327
675.84705	309
675.88422	303
675.92139	315
675.95856	314
675.99573	314
676.0329	299
676.07007	309
676.10718	327
676.14435	280
676.18152	305
676.21869	309
676.25586	314
676.29297	296
676.33014	299
676.36731	310
676.40442	314
676.44159	294
676.47876	311
676.51587	320
676.55304	298
676.59021	293
676.62732	300
676.66449	309
676.7016	301
676.73877	290
676.77588	295
676.81305	308
676.85016	306
676.88733	297
676.92444	296
676.96161	297
676.99872	314
677.03583	290
677.073	295
677.11011	314
677.14728	297
677.18439	291
677.2215	300
677.25861	304
677.29578	275
677.33289	296
677.37	293
677.4071	292
677.44427	299
677.48138	291
677.51849	281
677.5556	310
677.59271	304
677.62982	288
677.66693	293
677.70404	304
677.74115	324
677.77826	290
677.81537	290
677.85248	293
677.88959	303
677.9267	286
677.96381	299
678.00092	295
678.03802	309
678.07513	292
678.11224	296
678.14935	304
678.18646	293
678.22351	290
678.26062	314
678.29773	310
678.33484	301
678.37189	299
678.409	297
678.44611	301
678.48322	289
678.52026	274
678.55737	283
678.59442	293
678.63153	310
678.66864	289
678.70569	294
678.7428	295
678.77985	312
678.81696	290
678.854	284
678.89111	307
678.92816	297
678.96527	282
679.00232	274
679.03943	308
679.07648	299
679.11353	274
679.15063	261
679.18768	295
679.22473	300
679.26184	291
679.29889	287
679.33594	294
679.37305	302
679.4101	291
679.44714	284
679.48419	298
679.52124	297
679.55835	287
679.5954	294
679.63245	298
679.66949	287
679.70654	275
679.74359	281
679.78064	287
679.81769	285
679.85474	273
679.89178	307
679.92883	297
679.96588	282
680.00293	267
680.03998	296
680.07703	292
680.11407	282
680.15112	283
680.18811	277
680.22516	288
680.26221	291
680.29926	263
680.3363	285
680.37329	286
680.41034	293
680.44739	286
680.48444	276
680.52142	309
680.55847	289
680.59552	285
680.63251	267
680.66956	287
680.70654	288
680.74359	265
680.78064	293
680.81763	288
680.85468	288
680.89166	263
680.92871	279
680.9657	305
681.00269	301
681.03973	285
681.07672	270
681.11377	283
