0.0018	110
0.002	333
0.0022	719
0.0024	1042
0.0026	1160
0.0028	1085
0.003	778
0.0032	368
0.0034	105
0.0036	119
0.0038	377
0.004	809
0.0042	1298
0.0044	1482
0.0046	1372
0.0048	1012
0.005	534
0.0052	144
0.0054	134
0.0056	413
0.0058	800
0.006	1216
0.0062	1392
0.0064	1240
0.0066	859
0.0068	450
0.007	161
0.0072	99
0.0074	298
0.0076	576
0.0078	817
0.008	915
0.0082	797
0.0084	542
0.0086	280
0.0088	112
0.009	64
0.0092	143
0.0094	272
0.0096	360
0.0098	378
0.01	322
0.0102	200
0.0104	115
0.0106	60
0.0108	48
0.011	62
0.0112	81
0.0114	83
0.0116	71
0.0118	53
0.012	39
0.0122	35
0.0124	37
0.0126	40
0.0128	37
0.013	30
0.0132	23
0.0134	20
0.0136	20
0.0138	33
0.014	67
0.0142	116
0.0144	163
0.0146	216
0.0148	275
0.015	326
0.0152	370
0.0154	422
0.0156	497
0.0158	626
0.016	833
