0.0018	428
0.002	442
0.0022	456
0.0024	457
0.0026	476
0.0028	482
0.003	490
0.0032	493
0.0034	495
0.0036	493
0.0038	491
0.004	489
0.0042	481
0.0044	474
0.0046	465
0.0048	455
0.005	443
0.0052	424
0.0054	408
0.0056	392
0.0058	375
0.006	357
0.0062	334
0.0064	314
0.0066	295
0.0068	277
0.007	256
0.0072	234
0.0074	214
0.0076	196
0.0078	180
0.008	162
0.0082	144
0.0084	127
0.0086	114
0.0088	100
0.009	88
0.0092	75
0.0094	63
0.0096	54
0.0098	46
0.01	40
0.0102	32
0.0104	26
0.0106	22
0.0108	19
0.011	16
0.0112	13
0.0114	12
0.0116	11
0.0118	11
0.012	10
0.0122	11
0.0124	11
0.0126	12
0.0128	12
0.013	13
0.0132	14
0.0134	14
0.0136	15
0.0138	17
0.014	32
0.0142	51
0.0144	73
0.0146	106
0.0148	150
0.015	203
0.0152	265
0.0154	342
0.0156	432
0.0158	530
0.016	653
