0.002	80
0.0022	92
0.0024	196
0.0026	540
0.0028	1037
0.003	1370
0.0032	1299
0.0034	825
0.0036	311
0.0038	105
0.004	374
0.0042	977
0.0044	1482
0.0046	1435
0.0048	950
0.005	376
0.0052	90
0.0054	363
0.0056	908
0.0058	1360
0.006	1374
0.0062	819
0.0064	237
0.0066	75
0.0068	315
0.007	766
0.0072	1107
0.0074	978
0.0076	586
0.0078	197
0.008	64
0.0082	262
0.0084	591
0.0086	748
0.0088	669
0.009	416
0.0092	126
0.0094	60
0.0096	147
0.0098	309
0.01	394
0.0102	334
0.0104	211
0.0106	100
0.0108	50
0.011	74
0.0112	130
0.0114	151
0.0116	130
0.0118	91
0.012	55
0.0122	38
0.0124	38
0.0126	40
0.0128	36
0.013	30
0.0132	24
0.0134	23
0.0136	23
0.0138	23
0.014	46
