0.002	38.4	3.286335345
0.0022	48	5.244044241
0.0024	49.6	7.231873893
0.0026	52.6	7.092249291
0.0028	58.4	5.899152482
0.003	72.6	7.797435476
0.0032	75.2	3.962322551
0.0034	74	2.121320344
0.0036	81.2	6.140032573
0.0038	88.2	11.12205017
0.004	86	9.899494937
0.0042	99.8	14.65264481
0.0044	109.2	10.13410085
0.0046	113	10.83974169
0.0048	115	4.062019202
0.005	127.8	18.30846799
0.0052	117.4	11.6747591
0.0054	125.4	12.77888884
0.0056	122.6	9.396807969
0.0058	125.6	8.294576541
0.006	127.6	8.264381405
0.0062	127.4	6.348228099
0.0064	131.8	17.10847743
0.0066	134.8	5.495452666
0.0068	138	19.45507646
0.007	133.8	12.85301521
0.0072	132.8	13.53513945
0.0074	125.6	17.08215443
0.0076	126.6	16.74216235
0.0078	122	17.47855829
0.008	120.8	5.540758071
0.0082	104.8	7.085195834
0.0084	116.4	10.50238068
0.0086	98.6	7.987490219
0.0088	101.8	10.13410085
0.009	99.8	15.75436447
0.0092	86.6	10.26157883
0.0094	90.4	8.988882022
0.0096	72.4	13.27780102
0.0098	74	6.08276253
0.01	75.4	6.308724118
0.0102	72	9.137833441
0.0104	63	6.519202405
0.0106	56.2	10.009995
0.0108	57.6	8.561541917
0.011	45.2	9.884331035
0.0112	42.6	8.619744776
0.0114	34.4	5.128352562
0.0116	39.2	2.28035085
0.0118	36.4	2.302172887
0.012	27	6.519202405
0.0122	24.6	1.816590212
0.0124	24.2	3.563705936
0.0126	21.2	4.086563348
0.0128	24	3.082207001
0.013	18	2.236067977
0.0132	16	1.58113883
0.0134	18	2.915475947
0.0136	14.2	4.086563348
0.0138	23	5.522680509
0.014	25.2	3.962322551
0.0142	34	5.099019514
0.0144	48	2.738612788
0.0146	58.8	12.04989627
0.0148	64.8	11.12205017
0.015	85.8	7.259476565
0.0152	89.6	8.08084154
0.0154	107.6	6.024948133
0.0156	126.8	10.75639345
0.0158	131	14.56021978
0.016	142.4	19.12589867
